ParentID,DataID,Name,Path,Level,CountOfItems,SizeOfAllVersions
-1,2000,Enterprise,Enterprise,1,28,0
2000,262739,Crown Asset Management,Enterprise:Crown Asset Management,2,1,0
2000,599221,Crown Entity and Board Performance,Enterprise:Crown Entity and Board Performance,2,50,0
2000,262741,Enforcement and Monitoring of Legislation,Enterprise:Enforcement and Monitoring of Legislation,2,52,0
2000,262742,Governance and Strategy,Enterprise:Governance and Strategy,2,38,22
2000,599265,Grants and Funds Management,Enterprise:Grants and Funds Management,2,8,0
2000,262744,"Licensing, Permits and Registration","Enterprise:Licensing, Permits and Registration",2,11,0
2000,197355,MAKO Utilities,Enterprise:MAKO Utilities,2,7,0
2000,81663789,Petroleum and Minerals (merge the content into the other L2 structure),Enterprise:Petroleum and Minerals (merge the content into the other L2 structure),2,1,0
2000,81954480,Petroleum and Minerals Perms V2 (all levels) (To Keep this structure),Enterprise:Petroleum and Minerals Perms V2 (all levels) (To Keep this structure),2,1,0
2000,74863897,Pike River Recovery Agency,Enterprise:Pike River Recovery Agency,2,13,0
2000,262745,"Policy Advice, Regulation and Standards","Enterprise:Policy Advice, Regulation and Standards",2,63,0
2000,25076392,Published Information,Enterprise:Published Information,2,6,0
2000,81163143,Team Workspaces,Enterprise:Team Workspaces,2,2,0
2000,12616206,WorkSafe New Zealand,Enterprise:WorkSafe New Zealand,2,0,0
2000,4505909,xBuilding and Housing,Enterprise:xBuilding and Housing,2,18,0
2000,45357185,xCERA,Enterprise:xCERA,2,6,0
2000,9917760,xDepartment of Labour,Enterprise:xDepartment of Labour,2,11,0
2000,277151,xEconomic Development After 1/1/2007,Enterprise:xEconomic Development After 1/1/2007,2,21,0
2000,560843,xEconomic Development Before 1/1/2007,Enterprise:xEconomic Development Before 1/1/2007,2,14,0
2000,11826037,"xFoundation for Research, Science and Technology","Enterprise:xFoundation for Research, Science and Technology",2,4,0
2000,81652357,xINSITE (Closed),Enterprise:xINSITE (Closed),2,18,0
2000,9025637,xMinistry of Research Science and Technology,Enterprise:xMinistry of Research Science and Technology,2,26,0
